country_name	ccode	index	election_id	year	partyname	cmpcode	self_sup	self_supp_t1	self_supp_t2	self_supp_ch_t	self_supp_ch_t1	party_all	party_all_t1	party_all_t2	party_ch_all_voters_t	party_ch_all_voters_t1	abs_party_all_ch	n_pid	toofew	party_sup	party_supp_t1	party_ch_supporters_t	party_ch_supporters_t1	party_ind	party_ind_t1	party_ind_ch	party_ind_ch1	party_oth	party_oth_t1	party_others_ch	party_others_ch1	interpolated_expert	interpolated_expert_t1	interpolated_expert_t2	interpolated_expert_ch1	interpolated_expert_ch2	interpolated_expert_10	interpolated_expert_t1_10	interpolated_expert_t2_10	interpolated_expert_ch1_10	interpolated_expert_ch2_10	abs_interp_expert_ch	emp_posit_t	emp_posit_t1	emp_posit_t2	emp_ch1	emp_ch2	emp_posit_t_10	emp_posit_t1_10	emp_posit_t2_10	emp_ch1_10	emp_ch2_10	abs_epmch	greens	ingovt	vote	anti_eu	extremism_expert	extremism_cmp_lr	cmp_eu_ratio	cmp_eu_ratio_t1	cmp_eu_ratio_t2	cmp_eu_ratio_ch1	cmp_eu_ratio_ch2
"Austria"	42.0	43091	5.0	2009.0	"OVP"	42520	5.129	4.742	5.554	0.38700008	-0.8119998	6.787	6.214	6.366	0.57299995	-0.15199995	0.57299995	196.0		6.937	6.526	0.41099977	-0.7399998	6.80909	5.95029	0.85879993	-0.24651957	6.69926	6.32461	0.37465	0.14021015	6.4464283	6.69	6.8	-0.24357176	-0.11000013	9.169642	9.535	9.700001	-0.3653574	-0.16500092	0.24357176	15.120968	33.534744	19.315403	-18.413776	14.219341	6.180444	7.0090637	6.369193	-0.82861996	0.63987064	18.413776	0.0	1.0	29.98	0.0	2.4499998		0.9047619	1.0	1.0	-0.09523809	0.0
"Britain"	51.0	52041	4.0	2004.0	"Labour"	51320	5.625	5.61		0.0149998665		5.324	5.772		-0.44799995		0.44799995	198.0		6.591	6.149	0.4419999		5.14175	5.67704	-0.53529024		4.99701	5.76027	-0.7632599		5.22	5.3846154		-0.16461563		7.33	7.5769234		-0.24692345		0.16461563	22.173914	12.5	8.768268	9.673914	3.7317324	6.497826	6.0625	5.8945723	0.4353261	0.16792774	9.673914	0.0	1.0	21.9	0.0	1.2199998	5.5837564	1.0	0.8064516	1.0	0.19354838	-0.19354838
"Britain"	51.0	52091	5.0	2009.0	"Labour"	51320	5.447	5.625	5.61	-0.17799997	0.0149998665	5.499	5.324	5.772	0.17500019	-0.44799995	0.17500019	129.0		7.167	6.591	0.57599974	0.4419999	5.23476	5.14175	0.09300995	-0.53529024	5.16471	4.99701	0.16769981	-0.7632599	4.905	5.22	5.3846154	-0.31499958	-0.16461563	6.8575	7.33	7.5769234	-0.47249985	-0.24692345	0.31499958	9.35412	22.173914	12.5	-12.819794	9.673914	5.9209356	6.497826	6.0625	-0.57689047	0.4353261	12.819794	0.0	1.0	15.31	0.0	0.90999985	3.0898874	0.8518519	1.0	0.8064516	-0.14814812	0.19354838
"Britain"	51.0	52041	4.0	2004.0	"Liberals"	51421	5.042	5.656		-0.6140003		5.148	5.265		-0.1170001		0.1170001	86.0		6.198	7.2	-1.0019999		5.04681	5.18831	-0.1415		5.10025	5.16129	-0.0610404		6.4449997	6.6153846		-0.17038488		9.1675	9.423077		-0.2555771		0.17038488	11.314984	10.477453	7.9395084	0.8375311	2.5379448	6.0091743	5.9714856	5.857278	0.037688732	0.114207745	0.8375311	0.0	0.0	14.4	0.0	2.67	0.2610966	0.74545455	0.6744186	1.0	0.07103592	-0.32558137
"Britain"	51.0	52091	5.0	2009.0	"Liberals"	51421	5.385	5.042	5.656	0.3430004	-0.6140003	5.476	5.148	5.265	0.32800007	-0.1170001	0.32800007	45.0		6.88	6.198	0.68200016	-1.0019999	5.275	5.04681	0.22818995	-0.1415	5.57267	5.10025	0.47242022	-0.0610404	6.055	6.4449997	6.6153846	-0.38999987	-0.17038488	8.5824995	9.1675	9.423077	-0.58500004	-0.2555771	0.38999987	17.561983	11.314984	10.477453	6.246999	0.8375311	6.2902894	6.0091743	5.9714856	0.28111506	0.037688732	6.246999	0.0	0.0	13.36	0.0	2.2199998	3.2116785	0.8666667	0.74545455	0.6744186	0.121212125	0.07103592
"Britain"	51.0	52041	4.0	2004.0	"Conserv"	51620	2.689	3.64		-0.9510002		4.334	4.097		0.23699999		0.23699999	168.0		4.97	4.387	0.5829997		4.45816	4.20388	0.2542801		3.76163	3.71782	0.04381013		2.28	2.1538463		0.12615371		2.92	2.7307694		0.18923068		0.12615371	-17.679558	-11.09375	8.26087	-6.585808	-19.35462	4.70442	5.000781	5.8717394	-0.29636097	-0.8709583	6.585808	0.0	0.0	25.9	1.0	2.0	14.917127	-0.6111111	-0.15068491	0.29032257	-0.4604262	-0.4410075
"Britain"	51.0	52091	5.0	2009.0	"Conserv"	51620	3.606	2.689	3.64	0.91700006	-0.9510002	5.186	4.334	4.097	0.85199976	0.23699999	0.85199976	153.0		6.124	4.97	1.1540003	0.5829997	4.9391	4.45816	0.48093987	0.2542801	5.08767	3.76163	1.3260398	0.04381013	2.3400002	2.28	2.1538463	0.06000018	0.12615371	3.0100002	2.92	2.7307694	0.09000015	0.18923068	0.06000018	-8.521303	-17.679558	-11.09375	9.158255	-6.585808	5.1165414	4.70442	5.000781	0.4121213	-0.29636097	9.158255	0.0	0.0	27.0	1.0	1.6600001	14.5348835	-0.42857143	-0.6111111	-0.15068491	0.18253967	-0.4604262
"Ireland"	53.0	54041	4.0	2004.0	"GREENS"	53110	5.267	5.5		-0.2329998		4.924	5.083		-0.1590004		0.1590004	28.0	1.0	6.5	5.0	1.5		5.02828	5.06087	-0.03259039		4.78744	5.13978	-0.35234022		2.925	2.3333333		0.5916667		3.8874998	3.0		0.8874998		0.5916667	4.249292	1.3422819		2.90701		5.691218	5.560403		0.13081503		2.90701	1.0	0.0	4.3	1.0	1.25	30.485437	-0.6	-0.9	-1.0	0.29999995	0.100000024
"Ireland"	53.0	54091	5.0	2009.0	"GREENS"	53110	5.846	5.267	5.5	0.579	-0.2329998	5.152	4.924	5.083	0.22800016	-0.1590004	0.22800016	11.0	1.0	6.482	6.5	-0.018000126	1.5	5.09732	5.02828	0.0690403	-0.03259039	5.19373	4.78744	0.40629005	-0.35234022	4.525	2.925	2.3333333	1.6000001	0.5916667	6.2875004	3.8874998	3.0	2.4000006	0.8874998	1.6000001	1.6393442	4.249292	1.3422819	-2.6099477	2.90701	5.5737705	5.691218	5.560403	-0.117447376	0.13081503	2.6099477	1.0	1.0		0.0	0.5300002	21.057785	1.0	-0.6	-0.9	1.6	0.29999995
"Ireland"	53.0	54041	4.0	2004.0	"LABOUR"	53320	6.028	6.722		-0.69400024		5.002	5.466		-0.46400023		0.46400023	71.0	1.0	6.099	6.313	-0.21400023		4.92248	5.32479	-0.4023099		4.9193	5.68539	-0.7660899		5.365	5.5		-0.13500023		7.5474997	7.75		-0.20250034		0.13500023	11.904762	16.666666	13.559322	-4.761904	3.1073437	6.035714	6.25	6.1101694	-0.21428585	0.13983059	4.761904	0.0	0.0	10.6	0.0	1.1300001	22.290077	0.6744186	0.39534885	1.0	0.27906978	-0.60465115
"Ireland"	53.0	54091	5.0	2009.0	"LABOUR"	53320	5.708	6.028	6.722	-0.3199997	-0.69400024	5.711	5.002	5.466	0.7090001	-0.46400023	0.7090001	77.0		7.3	6.099	1.2010002	-0.21400023	5.6526	4.92248	0.7301197	-0.4023099	5.3847	4.9193	0.46539974	-0.7660899	5.80625	5.365	5.5	0.44125032	-0.13500023	8.209375	7.5474997	7.75	0.6618757	-0.20250034	0.44125032	8.591886	11.904762	16.666666	-3.3128767	-4.761904	5.886635	6.035714	6.25	-0.14907932	-0.21428585	3.3128767	0.0	0.0	13.92	0.0	1.81	18.678295	0.9130435	0.6744186	0.39534885	0.23862487	0.27906978
"Ireland"	53.0	54041	4.0	2004.0	"FG"	53520	4.973	6.125		-1.152		5.743	6.131		-0.388		0.388	189.0	1.0	5.847	7.789	-1.9419999		5.6743	6.00807	-0.3337698		5.75911	6.12088	-0.36177015		6.565	6.5		0.06500006		9.3475	9.25		0.09749985		0.06500006	18.336887	8.317215	13.56784	10.019672	-5.2506247	6.32516	5.8742747	6.110553	0.4508853	-0.23627806	10.019672	0.0	0.0	27.8	0.0	2.63	9.316771	0.8666667	0.4666667	1.0	0.39999998	-0.5333333
"Ireland"	53.0	54091	5.0	2009.0	"FG"	53520	6.019	4.973	6.125	1.046	-1.152	6.235	5.743	6.131	0.4920001	-0.388	0.4920001	111.0		7.308	5.847	1.461	-1.9419999	6.17626	5.6743	0.5019598	-0.3337698	5.88976	5.75911	0.13065004	-0.36177015	6.5	6.565	6.5	-0.06500006	0.06500006	9.25	9.3475	9.25	-0.09749985	0.09749985	0.06500006	12.157535	18.336887	8.317215	-6.1793528	10.019672	6.047089	6.32516	5.8742747	-0.27807093	0.4508853	6.1793528	0.0	0.0	29.13	0.0	2.5	9.743089	0.7575758	0.8666667	0.4666667	-0.109090865	0.39999998
"Ireland"	53.0	54041	4.0	2004.0	"FF"	53620	5.578	5.611		-0.032999992		5.976	6.486		-0.5100002		0.5100002	303.0		6.462	7.186	-0.724		5.81818	6.27092	-0.45273972		5.7602	6.74	-0.97979975		5.865	5.8333335		0.03166628		8.2975	8.25		0.047499657		0.03166628	11.217184	13.02521	5.496454	-1.8080263	7.5287566	6.004773	6.0861344	5.74734	-0.081361294	0.33879423	1.8080263	0.0	1.0	29.5	0.0	1.6300001	6.2461348	0.8888889	0.45945945	1.0	0.42942944	-0.5405406
"Ireland"	53.0	54091	5.0	2009.0	"FF"	53620	6.093	5.578	5.611	0.51499987	-0.032999992	5.808	5.976	6.486	-0.16799974	-0.5100002	0.16799974	127.0		7.513	6.462	1.0510001	-0.724	5.62356	5.81818	-0.19462013	-0.45273972	5.31392	5.7602	-0.44628	-0.97979975	6.30625	5.865	5.8333335	0.44125032	0.03166628	8.959375	8.2975	8.25	0.6618757	0.047499657	0.44125032	9.295352	11.217184	13.02521	-1.9218321	-1.8080263	5.9182906	6.004773	6.0861344	-0.086482525	-0.081361294	1.9218321	0.0	1.0	24.08	0.0	2.31	11.184883	1.0	0.8888889	0.45945945	0.111111104	0.42942944
